dossier_number,file_number,x-coordinaat,y-coordinaat,lat,lon
d-25489002,f-484170,117956,484691,4.843530915677439,52.34887774108477
d-25489005,f-484173,126760,480002,4.973131438005447,52.30725854400105
d-25489006,f-484174,120851,485681,4.8859170476754965,52.357962719324306
d-25489008,f-494166,120150,487310,4.875458324441928,52.37255898514144
d-25485896,f-484184,121129,491067,4.889454734821607,52.406385364408294
d-25485897,f-484185,122460,487023,4.909405551547583,52.37012136684765
d-25485009,f-484787,115155,486681,4.802188497286242,52.36656632308632
d-25485010,f-484788,119347,488654,4.863524726384231,52.38458629682494
d-25485012,f-484790,123791,485967,4.9290466008394205,52.36070798319542
d-25485017,f-484795,122822,484648,4.914947997051896,52.34879776769087
d-25485018,f-484796,125580,489913,4.9549634455958245,52.39627076448443
d-25485019,f-484797,128246,489476,4.994166428078507,52.392479735522244
d-25485020,f-484798,119244,490853,4.861777693411666,52.40434248440456
d-25485021,f-484799,125264,479819,4.951212868886068,52.30553502099241
