dossier;file;x-coordinaat;y-coordinaat
d-25489002;f-484170;103267;496744
d-25489005;f-484173;128732;489078
d-25489006;f-484174;128761;488641
d-25489008;f-494166;108063;488000
d-25485896;f-484184;116321;505387
d-25485897;f-484185;110917;494361
d-25485009;f-484787;128145;494629
d-25485010;f-484788;116155;504909
d-25485012;f-484790;128703;503618
d-25485017;f-484795;119157;462304
d-25485018;f-484796;116307;492544
d-25485019;f-484797;167978;503767
d-25485020;f-484798;131839;496538
d-25485021;f-484799;110659;493276
